id,time,intid,area,rsphone,acode,zip,ringer,intro1,intro2,srvyinfo,gender,rwdirusa,rwdiril,rwdirlocal,qlife,ccintro,recall,order1,concon,order2,rcc1,rcc1ccp,rcc1ccq,rcc2,rcc2ccp,rcc2ccq,ccr1,ccr1ccq,ccr1r,ccr2,ccr2ccq,ccr2r,tax_fed_val,tax_il_val,tax_fairshr,qlintro,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,concon_info,ilbudg_st,ilbudg_gdjob,ilbudg_prjob,ilbudg_gdjob1,ilbudg_prjob1,ilbudg_prjob2,ilbudg_gdjob2,ilbudg_intro,ilbudg_gov,ilbudg_leg,Ilbudg_senpres,Ilbudg_horspk,stfin_intro,stfin_total,stfinord,stfin1,stfin2,cuts_intro,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,pen_cuts,cuts_comment,tax_intro,tax_hinc,tax_sales,tax_services,gamble_exp,sell_il_asset,tax_comment,crts_intro,judic_apelect,judic_apelectfeel,judic_campissue,crts_intro2,cf_lim_judg1,cf_lim_judg2,cf_pub_judg1,cf_pub_judg2,crts4ord,crts4a,crts4b,demo_intro,birth_yr,hh_child,comun_type,zip2,county,education,employ_time,rent_own,marstatus,party_aff08,party_repstr,party_demstr,party_indystr,party_aff,rac_eth,hh_inc,numphones,havecell,gender2,cbtime,nrv,thanks,sorry,thanksc,results,spanish,date1,regwgt,gendwgt,rxgwgt
297,5,239,1,312265,312, ,1,2, , ,2,2,2,1,4, ,999,9,8,1,999, ,999,999, ,999, ,8,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081006,1.06976744186047,.83743842364532,.895864360178715
571,16,45,1,312666,312, ,1,2, , ,2,2,1,1,3, ,2,1,1,1,2, ,1,999, ,999, ,999,999, ,999,999,4,4,8, ,3,4,3,3,3,2,4,4,8,1, , ,1,8, ,4,3,8,8, ,1,2,999,2, ,2,2,2,2,2,1,8, ,1,8,1,1,1,8, ,1,1,2, ,2,1, ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081002,1.06976744186047,.83743842364532,.895864360178715
680,13,45,1,773221,773, ,1,3, , ,2,1,2,1,2, ,2,1,8,1,2, ,8,999, ,999, ,999,999, ,999,999,2,3,3, ,3,3,2,2,2,2,2,2,1,8,1,8, , , ,2,3,3,3, ,2,1,2,999, ,1,1,1,1,1,1,0, ,2,1,2,2,2,0, ,1,2,8, ,3,3,8,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081006,1.06976744186047,.83743842364532,.895864360178715
1685,2,225,1,773224,773, ,1,2, , ,2,2,2,2, , ,999,9,999,9,999, ,999,999, ,999, ,999,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081008,1.06976744186047,.83743842364532,.895864360178715
681,6,216,1,773283,773, ,1,1, ,1,1,2,2,2,4,1,1,1,1,1,1,1,1,999, ,999, ,999,999, ,999,999,5,3,3, , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080929,1.06976744186047,1.25319693094629,1.3406292749658
364,3,22,1,773292,773, ,1,2, , ,2,2,8,1,3, ,999,9,999,9,999, ,999,999, ,999, ,999,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080927,1.06976744186047,.83743842364532,.895864360178715
463,7,11,1,773322,773, ,1,2, ,1,2,2,2,2,3,1,2,1,2,1,2,1,2,999, ,999, ,999,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080929,1.06976744186047,.83743842364532,.895864360178715
907,3,115,1,773626,773, ,1,3, , ,2,2,2,2, , ,999,9,999,9,999, ,999,999, ,999, ,999,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081008,1.06976744186047,.83743842364532,.895864360178715
908,2,115,1,773631,773, ,1,3, , ,2,2, , , , ,999,9,999,9,999, ,999,999, ,999, ,999,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081008,1.06976744186047,.83743842364532,.895864360178715
614,6,216,1,773731,773, ,1,1, ,1,2,2,1,1,3,1,3,2,8,2,999, ,999,999, ,999, ,999,999,1,8,3,4,4, , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081007,1.06976744186047,.83743842364532,.895864360178715
311,25,111,1,773753,773, ,1,1, ,1,2,2,2,1,3,1,2,2,1,1,999, ,999,999, ,999,1,1,2, ,999,999,4,4,3,1,3,4,3,4,3,2,2,4,1,1, , ,1,1,1,4,8,8,3,1,8,2,999,8,1,2,1,2,2,2,8,1,1,1,9,8,2,8,9,9,9, ,9,9,9,9,9,9,2,999,9,9,9, , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080925,1.06976744186047,.83743842364532,.895864360178715
161,7,45,1,773778,773, ,1,3, , ,2,2,2,9,3, ,999,9,1,1,999, ,999,999, ,999, ,1,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080925,1.06976744186047,.83743842364532,.895864360178715
206,16,45,1,773863,773, ,1,1, , ,1,1,2,2,5, ,8,2,2,2,999, ,999,999, ,999, ,999,999, ,1,8,3,3,2, ,3,5,3,3,3,3,4,2,8,8,8,8, , , ,3,1,2,1, ,2,2,999,1, ,2,2,2,8,2,2,8, ,1,1,1,2,1,0, ,1,1,1, ,1,1,2,1,1,1,999, ,1, , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080930,1.06976744186047,1.25319693094629,1.3406292749658
779,12,115,1,773929,773, ,1,3, , ,2,2,2,2,4, ,2,2,1,1,999, ,999,999, ,999, ,1,2, ,999,999,4,4,3, ,4,5,4,5,5,4,3,3,0,1, , ,1,0, ,2,2,2,2, ,2,2,999,1, ,2,2,2,2,2,2,1, ,1,2,2,2,1,0, , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20080929,1.06976744186047,.83743842364532,.895864360178715
740,10,115,1,773929,773, ,1,3, , ,2,2,2,1,3, ,1,1,1,1,1, ,1,999, ,999, ,999,999, ,999,999,3,3,2, ,4,5,3,4,3,5,3,3,0,0, , ,0,0, ,3,3,3,3, ,2,2,999,1, ,2,2, ,1,2,2, , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081006,1.06976744186047,.83743842364532,.895864360178715
903,15,107,1,773944,773, ,1,1, , ,1,2,2,2,2, ,1,1,1,1,1, ,1,999, ,999, ,999,999, ,999,999,5,5,3, ,3,4,3,5,5,1,3,5, , , , , , , , , , , , ,1,2,999,2, ,2,1,1,1,1,2,1, ,1,2,2,2,2, , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081008,1.06976744186047,1.25319693094629,1.3406292749658
99,11,33,2,630665,630, ,1,3, , ,2,8,2,1,1, ,1,1,1,1,1, ,1,999, ,999, ,999,999, ,999,999,3,2,2, ,2,3,2,2,2,1,3,4,8,1, , ,1,8, ,4,3,4,2, ,2,2,999,1, ,2,1,2,1,1,2,1, ,2,2,2,1,2,0, ,2,2,8, ,1,1, ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081007,1.30841121495327,.83743842364532,1.09571382533033
85,4,33,2,630963,630, ,1,3, , ,1,2,2,1,3, ,999,9,999,9,999, ,999,999, ,999, ,999,999, ,999,999, , , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081007,1.30841121495327,1.25319693094629,1.63969691899515
662,13,20,2,630978,630, ,1,3, , ,2,2,2,1,2,1,8,1,8,1,8, ,8,999, ,999, ,999,999, ,999,999,3,3,8,1,2,2,2,2,4,2,4,3,8,8, , ,8,8, , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , , , , , ,999,9,999,999, , , , , , , , , , , , , , , , , , , ,999, , , , , , , ,20081002,1.30841121495327,.83743842364532,1.09571382533033
