id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,gov14_quin_raun,gov14_quin_raun_other,gov14_quin_brady,gov14_quin_brady_other,gov14_quin_dill,gov14_quin_dill_other,gov14_quin_ruth,gov14_quin_ruth_other,fix_deficit_il14,tax_temp_inc1,tax_temp_inc2,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_sales,tax_services,gamble_exp,tax_pen_ssi,tax_ret_inc,pen_refbill,term_total_yrs,term_leader,term_resp,term_expert,term_fresh,term_lobby,crpt_city_com,crpt_county_com,crpt_city_impact,crpt_state_com,crpt_st_impact,crpt_fed_com,crpt_fed_impact,gun_own,schoolgrd,schoolgrd_tax,gun_conceal_expt,gun_conceal_safe,local_ce,national_ce,news_accurate,say_from,say_from_other,q46_a1,q46_a2,q46_a3,q46_a4,q46_a5,q46_a6,q46_a7,q46_a8,q46_a9,q46_a10,q46_a11,q46_a12,q46,hc_medicaid,hc_ins_quality,hc_ins_cost,hc_get_ins,hc_delayed,hc_condition,abort_leg,lg_coup_rts,education,ideology,party_aff,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,born_again,zip,age,birth_yr,rac_eth,rac_eth_other,hh_inc,news_loc_tv,news_nat_np,news_npr,news_radio,news_msnbc,news_fox,news_cnn,news_bbc,news_huffpo,news_comedy,news_social,news_oth_dum,news_oth_word,news_no_contact
1220,3,1, , ,1,1,2,2,2,1,3,1,10, ,1, ,1, ,1, ,1, ,2,4,4,2,2,2,9,1,2,1,2,2,9,2,2,3,2,1,1,3,1,3,9,3,2,4,3,3,4,1,9, ,2,1,3,2,2,11, ,4,6,1,3,2,11,10,88, , , , ,NEWSPAPERS ONLINE,1,3, , ,1,2,3,1,5,3,5,1,1, ,2,1, ,5,62236,4,1974,1, ,7,1,1,1,1,0,1,0,0,0,1,1,1,NEWSPAPERS ONLINE,0
2081,3,1, , ,1,1,1,2,1,1,2,9, , ,1, ,1, ,9, ,9, ,8,4,3,2,2,9,2,9,2,1,2,4,4,2,1,1,1,1,1,3,1,4,2,2,3,3,3,4,3,1,1,1,1,1,2,3,2,6, ,1,6, , , , , , , , , , , ,2,2,1, ,2, ,2,1,6,4,5,3, ,3,2,1, ,5,61254,13,1930,1, ,5,1,0,0,0,0,1,0,0,0,0,0,0, ,0
1054,2,1, , ,1,1,2,2,2,1,3,1,1, ,1, ,8,BRUCE RAUNER,4, ,4, ,2,4,3,1,2,2,2,2,2,2,2,4,4,2,1,2,1,1,1,3,1,4,4,3,2,3,2,3,1,2,2, ,1,2,2,2,2,1, ,5,6,4,1,2,10, , , , , , , ,2,3, , ,2, ,2,2,2,3,6,3, ,2,1,1, ,5,60656,13,1926,1, ,3,1,1,0,1,1,1,0,0,0,1,0,0, ,0
1455,2,1, , ,1,1,2,2,2,1,3,2, , ,3, ,3, ,3, ,4, ,2,4,2,2,2,2,9,2,2,2,2,2,3,2,9,4,1,1,2,1,1,3,1,2,1,3,1,4,1,2,1,2,1,2,2,3,2,99, ,8,6,5,10,1,2,4, , , , , , ,2,3, , ,2, ,3,2,1,4,1,3, ,1,4, ,1,5,60101,13,1926,1, ,1,1,1,0,1,1,1,0,1,0,1,0,0, ,0
255,1,1, , ,1,1,2,2,2,1,1,9, , ,9, ,9, ,9, ,9, ,2,4,9,2,9,9,2,9,2,2,2,2,1,2,1,9,2,1,4,1,9,2,4,4,2,4,1,4,3,2,1,1,1,2,3,3,2,1, ,10,7,6,5,8,1,2, , , , , , ,2,9, , ,2, ,2,1,4,9,9,3, ,2,4, ,9, ,60611,13,1925,9, ,9,1,1,0,0,1,1,1,1,0,1,0,0, ,0
1289,1,1, , ,1,1,2,2,2,1,2,2, , ,3, ,3, ,3, ,3, ,3,9, ,2,2,2,1,2,2,1,2,2,3,2,2,2,1,1,2,4,2,4,4,3,3,3,2,2,4,2,2, ,1,2,3,3,2,3, ,3,9,5,10,2,11,1,4, , , , , ,2,3, , ,1,4,1,1,6,3,1,1,1, ,5, ,1,5,60653,8,1955,2, ,6,1,1,1,1,1,0,0,0,1,1,1,0, ,0
184,2,1, , ,1,1,2,2,2,1,3,9, , ,9, ,1, ,1, ,1, ,2,4,3,1,1,2,1,9,2,1,2,2,1,2,2,1,2,3,1,2,2,2,3,4,9,4,3,3,2,1,1,2,1,8,3,3,2,88,NORTHERN SUBURBS,3,5,1,4,88, , , , , , , ,THE HAROLD,2,3, , ,2, ,2,1,1,4,3,3, ,1,3,1, ,5,60060,99,9999,1, ,1,1,0,1,1,1,0,0,0,0,0,0,1,THE HAROLD,0
2372,2,1, , ,1,1,2,1,2,1,2,2, , ,3, ,3, ,3, ,3, ,3,9, ,2,1,2,2,2,2,2,2,1,4,2,2,1,3,1,3,2,3,2,1,1,2,2,1,2,2,2,2, ,1,2,3,4,2,5, ,8,1,10,7, , , , , , , , , ,2,1, , ,2, ,1,2,5,3,3,3, ,4,1,1, ,2,60073,8,1956,1, ,6,1,0,0,0,0,0,1,1,0,1,0,0, ,0
860,1,2,1,1, ,1,1,2,2,2,3,2, , ,3, ,3, ,3, ,3, ,3,2, ,2,2,2,9,9,2,9,1,1,4,2,1,4,1,1,2,4,1,4,3,4,4,4,2,4,9,1,1,1,9,8,2,3,2,11, ,4,2,5,3,6,7,1, , , , , , ,2,3, , ,2, ,2,2,4,2,2,2,1, ,2,1, ,2,62801,7,1962,2, ,4,1,1,1,1,1,1,1,0,0,0,0,0, ,0
2399,3,2,1,1, ,1,2,2,2,2,2,1,5, ,1, ,1, ,1, ,1, ,3,2, ,2,2,2,2,2,2,2,2,3,4,2,1,4,1,1,1,4,2,4,4,3,3,4,4,3,4,1,2, ,1,2,4,4,3,6, ,1,5, , , , , , , , , , , ,2,3, , ,2, ,3,1,6,5,7,3, ,3,1,1, ,5,62681,10,1947,1, ,5,1,0,0,0,1,0,0,0,0,0,0,0, ,0
1592,2,1, , ,1,1,2,2,2,1,2,9, , ,1, ,1, ,1, ,1, ,3,2, ,2,2,2,2,2,2,2,2,4,1,2,2,4,1,1,2,3,1,4,3,3,2,4,2,3,4,2,9, ,1,2,2,2,3,1, ,5,11,1,7,2, , , , , , , , ,2,3, , ,2, ,1,3,3,3,3,3, ,1,1,1, ,5,60453,11,1939,1, ,9,1,1,0,0,1,0,1,0,0,0,1,0, ,0
2239,2,1, , ,1,1,1,2,2,1,3,1,1, ,1, ,1, ,1, ,1, ,2,4,4,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,4,1,3,4,4,2,4,2,3,4,1,1,1,1,1,3,4,2,1, ,4,2,5,1,6, , , , , , , , ,2,3, , ,2, ,3,3,6,5,7,1,4, ,1,1, ,5,60453,9,1953,1, ,5,1,1,0,1,1,1,0,0,0,0,0,0, ,0
1200,3,1, , ,1,1,2,2,2,2,5,9, , ,1, ,1, ,1, ,1, ,2,4,4,1,9,2,2,2,2,1,2,3,3,2,2,2,3,1,1,4,1,2,3,3,4,3,4,4,4,1,1,2,1,8,3,3,2,88,WEST CENTRAL ILLINOIS,3,6,5,1,4,7, , , , , , , ,2,3, , ,2, ,2,2,3,4,7,4, , ,2,1, ,5,99999,8,1956,9, ,9,1,0,1,1,1,1,1,0,0,0,0,0, ,0
1824,3,1, , ,1,1,2,2,2,1,3,3, , ,1, ,1, ,1, ,1, ,2,9, ,2,2,2,2,1,2,1,2,3,4,9, ,2,2,1,2,2,1,4,1,1,1,4,2,3,2,2,2, ,2,2,2,2,2,11, ,7,5,6,1, , , , , , , , , ,2,3, , ,2, ,2,1,4,3,9,3, ,1,1,1, ,5,62231,10,1945,1, ,2,1,0,0,0,1,1,1,0,0,0,0,0, ,0
