id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_pres_oba,app_ussen_dur,fix_deficit_il,cuts_k12,cuts_he,cuts_he31,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_gas10,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50K,tax_temp_inc,tax_temp_inc45,tax_mil,tax_graduated,frack_know,frack_safe,frack_bene,grow_dt,safe_walk,mod_trans,mod_trans_other,prefer_cars,local_food,vet_greatest,vet_greatest_other,vet_2ndgreat,vet_2ndgreat_other,news_social,news_nat_paper,news_loc_paper,news_nat_tv,news_loc_tv,news_nat_radio,news_loc_radio,news_online_cons,news_online_libs,social_shrviews,pens_bnkrpt_il,pens_bnkrpt_chi,abort_leg,lg_coup_rts,feel_priv_union,feel_pub_unioin,feel_muslims,feel_lds,education,ideo_leans,ideology,party_leans,party_aff,employ_time,employ_type,retired_type,union,relig_often,relig_1,relig_2,religion,born_again,vet_you,vet_family,zip,age_cat,birth_yr,rac_eth,rac_eth_other,neighborhood,hh_inc,City,County,Latitude
001330,2,1, , ,1,1,1,1,2,2,2,1,1,5,5,3,2,2,2,1,2,2,2,2,1,1,1,2,2,4,4,1,1,1,4,2,1,1,1, ,2,3,13,MEDICAL SERVICES,3, ,1,7,7,7,7,1,0,0,2,1,2,2,2,1,1,1,1,4,6,1,1,1,1,1,2, ,2,4, ,2,2, ,5,2,60707,7,1960,4, ,3,6,Elmwood Park,Cook,41.92
000622,1,2,1,1, ,1,1,2,1,1,2,4,4,1,4,3,2,1,1,1,2,2,2,1,1,1,1,1, ,3,2,4,4,1,2,1,1,1,1, ,2,2,14, , , ,7,7,0,0,0,5,0,0,0,1,1,1,1,1,4,4,3,5,5,3,2,4,2,1,1, ,2,4, ,1,1,2,5,2,60607,3,1983,4, ,9,7,Chicago,Cook,41.83
000759,1,2,1,1, ,1,1,2,2,1,2,1,4,1,4,1,2,2,2,2,3,2,2,2,2,4,1,1, ,1, ,1,1,1,2,1,1,1,1, ,2,3,4, ,14, ,0,7,1,7,7,0,0,0,0,1,2,2,1,1,1,1,5,3,2,6, ,4,2,1,1, ,1,3,1, ,1,2,2,2,60616,9,1950,1, ,7,9,Chicago,Cook,41.83
000873,1,2,1,1, ,1,1,2,3,1,2,3,4,4,5,1,2,3,3,2,3,2,2,1,1,2,5,2,1,2, ,1,2,2,3,2,3,2,1, ,4,3,4, ,1, ,0,0,7,2,2,0,0,0,0,3,1,1,1,1,1,2,2,1,5,1,1,2,1,1,1, ,2,5, ,1,1,2,5,2,60805,7,1960,1, ,7,6,Evergreen Park,Cook,41.72
001182,1,2,1,1, ,1,1,2,3,3,2,4,3,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,1,4,4,2,4,2,2,1,2,2,1, ,2,1,1, ,3, ,0,7,1,7,0,7,7,7,7,2,1,1,2,1,2,4,1,2,6,4,3,7,3,1,2, ,2,3,1, ,1,2,5,2,60659,7,1962,1, ,7,7,Chicago,Cook,41.83
000100,1,1, , ,1,1,2,1,1,1,1,3,2,4,4,3,2,2,2,2,1,2,2,1,1,1,1,2,1,1, ,1,4,2,2,1,3,2,4, ,2,2,3, ,12, ,0,0,1,0,0,5,5,0,0,3,1,1,1,1,1,1,1,1,6,2,1,3,1,1,2, ,2,5, ,3,3, ,5,2,60614,6,1968,1, ,7,7,Chicago,Cook,41.83
001093,3,1, , ,1,1,2,3,2,1,3,3,3,2,4,4,2,3,2,2,2,2,2,2,2,3,3,2,3,4,5,1,2,1,4,2,2,2,1, ,2,2,3, ,13,RACIAL ISSUE,5,0,7,6,6,0,1,1,5,2,2,2,2,1,5,5,5,2,2,3,2,3,1,3, ,1,2,1,1, ,1,2,5,1,61108,13,1930,1, ,7,3,Rockford,Winnebago,42.27
001277,3,1, , ,1,1,2,2,1,1,4,4,9,2,4,3,2,2,2,2,1,2,2,2,2,3,4,2,1,4,5,1,1,1,4,2,1,6,1, ,1,2,3, ,12, ,0,0,7,7,7,2,7,0,0,3,1,3,2,2,1,1,5,5,3,3,2,1,1,3, ,3,1,1,1, ,1,1,5,1,62812,13,1927,1, ,8,5,Benton,Franklin,38
001594,3,1, , ,1,1,2,2,2,1,3,3,2,1,3,2,2,1,1,2,3,1,2,1,2,4,4,2,2,4,4,4,4,2,1,1,1,1,1, ,3,2,1, ,12, ,1,2,3,7,7,6,5,4,4,3,1,3,2,2,4,4,2,2,5,4,3,5,3,4, , , ,1,1, ,1,2,5,1,62052,7,1963,1, ,8,6,Jerseyville,Jersey,39.11
000935,2,2,1,1, ,1,1,2,3,1,2,4,4,2,4,1,2,1,2,2,2,1,2,1,1,1,2,1, ,1, ,1,2,2,2,1,2,2,1, ,1,2,14, , , ,0,7,7,0,1,0,0,0,0,1,1,1,1,3,4,3,2,2,5,3,2,6,3,1,4, ,2,4, ,1,1,2,5,1,60187,4,1977,1, ,7,5,Wheaton,Dupage,41.85
001613,2,2,1,1, ,1,1,2,2,1,2,4,4,1,2,2,1,2,2,1,2,1,2,1,1,1,4,1, ,4,1,4,3,2,2,1,2,1,1, ,1,2,2, ,13,LACK OF RETIREMENT BENEFITS,0,3,9,9,7,1,1,2,0,3,1,1,3,3,2,2,4,4,6,4,3,7,3,3, ,1,2,1,1, ,1,2,5,2,60004,10,1949,1, ,7,5,Arlington Heights,Cook,42.09
000027,3,1, , ,1,1,2,2,2,3,3,9,9,2,4,3,2,1,1,2,3,2,1,2,2,5,4,2,3,3,3,4,1,5,5,2,1,2,7,RIDE,3,3,13,HEALTHCARE IS NOT GOOD ENOUGH,3, ,0,2,2,1,1,7,7,9,0,4,2,2,3,4,1,1,2,2,3,4,3,1,1,5, , , ,3,1, ,1,1,5,1,62056,4,1975,1, ,7,9,Litchfield,Montgomery,39.17
000128,3,1, , ,1,1,2,1,1,1,3,5,1,5,4,3,2,2,2,2,2,2,2,2,2,4,4,2,2,4,4,4,4,3,4,2,1,1,2, ,2,1,14, ,14, ,7,7,7,7,7,7,7,7,7,1,1,1,3,3,1,1,1,1,2,5,3,1,1,1,4, ,2,1,1, ,1,2,5,1,61832,6,1968,2, ,10,9,Danville,Vermilion,40.14
000333,3,1, , ,1,1,2,2,2,1,2,4,9,4,9,2,2,2,2,2,1,1,1,1,2,4,4,2,1,5, ,1,2,1,3,2,2,2,1, ,1,3,3, ,1, ,7,7,7,7,7,2,2,0,9,1,1,1,2,2,4,4,4,2,5,3,2,3,1,3, ,2,2,1,1, ,1,1,5,1,62821,12,1938,1, ,7,9,Carmi,White,38.08
000700,3,1, , ,1,1,2,2,2,1,4,2,3,1,9,3,2,2,3,2,2,2,2,3,3,4,4,2,2,4,4,1,4,4,5,3,5,1,1, ,1,3,14, , , ,0,6,6,0,0,0,0,0,0,3,1,3,3,4,1,1,5,5,2,6, ,9,9,3, ,3,2,1,1, ,1,2,5,1,62025,13,1934,1, ,7,8,Edwardsville,Madison,38.8
000955,2,2,1,1, ,1,2,2,2,1,2,5,4,1,1,3,2,1,1,2,2,1,2,1,2,4,4,1, ,1, ,4,4,1,1,1,4,1,1, ,4,3,1, ,4, ,0,3,3,7,7,7,7,1,1,3,1,3,2,2,4,4,2,5,5,4,3,6,3,3, ,1,2,1,1, ,1,1,5,1,60193,9,1950,1, ,7,9,Schaumburg,Cook,42.03
000916,2,2,1,1, ,1,1,1,1,1,2,9,9,4,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,3,1,1,1,1, ,2,2,7, ,14, ,7,7,7,3,3,0,0,1,1,2,2,2,1,1,2,2,3,5,6,4,3,6,3,1,1, ,2,5, ,3,3, ,5,1,60030,4,1975,7, ,9,7,Grayslake,Lake,42.34
002268,3,2,1,1, ,1,1,1,1,1,2,4,5,1,1,2,1,2,2,2,2,1,2,1,2,4,2,2,1,4,4,4,4,1,1,1,1,1,1, ,1,3,4, ,1, ,7,0,7,7,7,7,5,7,2,1,1,1,2,2,2,2,3,5,3,5,3,9,9,1,4, ,1,4, ,1,1,2,5,1,61874,8,1955,1, ,9,5,Savoy,Champaign,40.06
003364,3,2,1,1, ,1,1,1,1,1,3,4,4,5,5,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1, ,1,1,2,2,1,1,1,1, ,2,3,5, ,1, ,7,7,1,5,2,3,0,7,7,1,2,1,1,1,2,2,2,4,4,1,1,1,1,4, , , ,5, ,3,3, ,5,1,62237,4,1975,1, ,7,4,Coulterville,Perry,38.18
002610,3,1, , ,1,1,2,2,3,3,3,4,3,1,3,2,2,2,3,2,3,3,2,1,2,1,3,3, ,2, ,5,5,4,5,3,3,3,1, ,1,1,14, , , ,0,5,5,6,6,0,0,0,0,4,1,1,2,1,3,3,5,5,3,3,2,5,3,4, , , ,3,1, ,1,2,5,1,61341,8,1959,1, ,7,8,Marseilles,La Salle,41.32
002954,3,1, , ,1,1,1,2,1,2,3,5,4,2,1,3,1,1,1,3,1,3,2,1,2,2,3,2,1,3,3,2,1,1,1,1,2,1,1, ,3,2,3, ,4, ,0,0,1,1,1,2,0,7,5,1,1,1,3,1,4,4,5,2,6,5,3,7,3,1,1, ,2,1,1, ,1,2,5,2,61036,6,1965,1, ,7,4,Galena,Jo Daviess,42.42
003187,3,1, , ,1,1,2,2,2,1,3,3,1,1,5,3,1,1,2,2,2,3,3,3,2,2,4,2,1,4,4,4,4,1,3,2,2,2,1, ,1,3,14, , , ,0,0,2,7,7,0,0,0,0,3,3,3,4,1,3,4,5,5,4,6, ,5,3,3, ,1,2,5, ,1,1,2,5,1,61910,10,1946,1, ,5,1,Arcola,Douglas,39.68
003430,3,1, , ,1,1,2,3,2,1,2,4,4,4,4,1,2,1,2,2,2,2,2,1,1,4,3,2,1,3,2,3,4,2,3,2,3,1,1, ,1,2,14, , , ,2,1,2,4,4,7,5,0,0,2,1,1,2,1,2,3,2,2,5,3,2,4,2,1,3, ,2,3,1, ,1,2,5,1,61705,9,1954,1, ,7,4,Bloomington,McLean,40.47
004084,3,1, , ,1,1,1,3,2,1,3,2,3,5,3,2,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,1,1,4,5,3,1,1,1, ,1,2,14, , , ,1,1,1,1,2,0,0,0,0,3,2,2,2,3,1,1,5,5,4,2,1,3,1,4, , , ,1,1, ,1,2,5,1,61611,2,1985,1, ,7,3,East Peoria,Tazewell,40.67
003480,2,1, , ,1,1,2,1,2,1,1,4,5,5,4,3,2,1,1,2,2,2,2,1,2,3,1,2,2,4,1,1,2,2,2,2,2,1,1, ,2,3,1, ,13,MEDICAL CARE,0,7,1,7,7,7,0,0,0,3,1,1,1,1,3,3,2,2,6,1,1,1,1,1,1, ,2,5, ,2,2, ,5,1,60516,9,1954,1, ,7,7,Downers Grove,Dupage,41.79
003937,2,2,1,1, ,1,1,1,1,1,2,9,3,5,5,2,2,2,2,2,1,2,3,1,2,4,4,2,1,4,1,1,1,1,4,2,2,1,1, ,2,3,14, , , ,7,7,2,7,7,5,2,0,0,2,1,1,2,2,3,1,3,3,6,2,1,1,1,1,1, ,1,3,1, ,1,1,5,2,60473,6,1966,2, ,6,7,South Holland,Cook,41.59
