key,type,text
id,String,Respondent ID
date,Numeric,Date of interview
int_lang,Numeric,Interview Language
area,Numeric,Area:
type,Numeric,Type:
cell,Numeric,S1. Have I reached you on your cell phone?
safe,Numeric,S2. Is this a safe time to talk with you now or are you driving?
youngest,Numeric,"S3. According to our research procedure, I need to speak to the youngest (male/female) who is registered to vote. May I speak to that person, please?"
reg,Numeric,S5. Are you registered to vote in the state of Illinois?
gender,Numeric,S6. Gender:
rwdirusa,Numeric,"1. Generally speaking, do you think things in our country are going in the right direction, or are they off track and heading in the wrong direction?"
rwdiril,Numeric,"2. And what about the direction of the State of Illinois? Generally speaking, are things in Illinois going in the right direction, or are they off track and heading in the wrong direction?"
rwdirlocal,Numeric,"3. And how are things going in your city or area of the state? In general, are things in your city or area going in the right direction, or in the wrong direction?"
qlife,Numeric,"4. Taking everything into account, would you say the overall quality of life in your area is..."
app_gov_rau,Numeric,5. I would like for you to tell me how Governor Bruce Rauner is doing his job.
app_ussen_kirk,Numeric,"6. Now, I'd like for you to tell me how well Senator Mark Kirk is doing his job."
app_ussen_dur,Numeric,"7. Next, I'd like for you to tell me how well Senator Dick Durbin is doing his job."
prim16_party,Numeric,"8. As you are probably aware, primary elections in Illinois will be held Tuesday, March 15. Are you planning to vote in the  primary, the  primary, or will you probably not vote in the March primary?"
prim16_pres_dem,Numeric,"9. If the Democratic primary for president were held today, would you vote for..."
prim16_pres_dem_other,String,"9. If the Democratic primary for president were held today, would you vote for... (OTHER RESPONSE)"
prim16_sen_dem,Numeric,"10. If the Democratic primary for US Senate were held today, would you vote for..."
prim16_sen_dem_other,String,"10. If the Democratic primary for US Senate were held today, would you vote for... (OTHER RESPONSE)"
prim16_pres_rep,Numeric,"11. If the Republican primary for president were held today, would you vote for..."
prim16_pres_rep_other,String,"11. If the Republican primary for president were held today, would you vote for... (OTHER RESPONSE)"
prim16_sen_rep,Numeric,"12. If the Republican primary for US Senate were held today, would you vote for..."
prim16_sen_rep_other,String,"12. If the Republican primary for US Senate were held today, would you vote for... (OTHER RESPONSE)"
fixdeficit_il,Numeric,"13. I'm going to read three statements that people have made about how to fix the deficit, and ask you which one comes closest to your views. If you haven't thought much about this issue, just tell me that."
cuts_K12,Numeric,14. Do you favor or oppose cuts in state spending on kindergarten through high school education?
cuts_he,Numeric,15. Do you favor or oppose cuts in state spending on state universities?
