id,area,rwdirusa,rwdiril,rwdirlocal,qlife,redist_hat,redist_neutral,redist_commis,app_pres_oba,firstam_1,firstam_2,firstam_3,firstam_4,firstam_5,firstam_6,firstam_7,firstam_8,firstam_9,firstam_10,firstam_11,firstam_12,firstam_13,firstam_14,massmedia,press_free,teapar_know,app_teapar,teapar_vote,gen10_vote,gen10_pollplace,gen10_house,gen10_enthu,term_lim,term_leader,cf_lim_judic,cf_pub_judic,cf_lim_leader,prim_nodeclr,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_inc_temp,tax_sales,tax_services1,tax_services2,gamble_exp,sell_il_asset,gen10_gov,gen10_gov_no3,gen10_ussen,gen10_ussen_no3,recall_today,recall,abort_leg,lg_rights,lg_mil_open,death_pen,betteroff_now,betteroff_1yr,poltol_vers,poltol_frs,poltol_frs_rep,poltol_frs_dem,poltol_frs_wom,poltol_frs_teapar,poltol_frs_lds,poltol_fru,poltol_fru_rep,poltol_fru_dem,poltol_fru_wom,poltol_fru_teapar,poltol_fru_lds,poltol_you_rep,poltol_you_dem,poltol_you_wom,poltol_you_teapar,poltol_you_lds,gender,education,ideology,party_aff,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,christian_type,birth_yr,zip,rac_eth,rent_own,hhinc,zip1,fips,adi,dma,msa,nielson,census,firam_pres,firam_spe,firam_relig,firam_pet,firam_asmbly,firam_tot,firam_none1,firam_other,firam_none2
37,1,1,2,2,4,2,2,2,1,6, , , , , , , , , , , , , ,2,3,1,3, ,2, ,2,1,1,5,3,5,2,4,1,2,2,2,1,2,2,2,2,2,1, ,1,1,1, ,1, ,1, ,1,1, ,2,3,3,3, , , , , , , , , , , , ,2,1,1,2,2,2,2,3,1,1,1, ,3, ,2, , , , , , , , , ,1,2,1932,60643,2,2,1,60643,17031,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
102,3,2,2,2,2,4,4,1,4,5,2, , , , , ,6, , , , , , ,1,2,1,1, ,1,1,1,3,2,1,4,4,4,4,2,2,1,2,1,2,2,2,2,2, ,2,2,1,2, ,2, ,1, ,2,3, ,1,1,1,1,1,3,0,3,3,3, , , , , , , , , , , ,1,2,5,6,4, ,1,88, , , , , , , , , , , ,2,2,1945,62737,1,1,7,62376,17001,712,588,9999,C,3,0,1,0,0,1,2,0,0,0
138,3,2,2,2,2,5,1,1,4,2,3, , , , , ,6, , , , , , ,2,3,1,1, ,1,1,1,3,1,1,1,1,4,1,2,2,3,2,2,2,2,1,2,2,2, ,1,1,2, ,2, ,1, ,2,2, ,1,2,3,3, , , , , , , , , , , , ,1,1,1,1,1,2,5,3,4,3,1, ,13, , , , , ,2, , , , , ,1,3,1949,61062,1,2,2,61062,17177,744,616,9999,D,3,0,1,1,0,0,2,0,0,0
143,2,1,1,1,2,4,2,1,2,2,1, , , , , ,3, , , , , , ,2,1,2,5, ,1,1,2,3,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1, ,1,1,3,1, ,1, ,1, ,1,1, ,1,1,1,2, , , , , , ,1,0,4,4,2,4, , , , , ,1,2,2,3,3,1, ,21, , , , , , , , , , , ,2,2,1989,60018,1,2,5,60016,17031,196,140,1698,A,3,1,1,1,0,0,3,0,0,0
153,2,3,1,2,3,4,2,2,2,2,1,3,5, , , ,4, , , , , , ,2,1,2,6, ,1,1,3,3,1,2,2,3,1,1,2,2,1,2,2,2,1,1,2,2,2, ,2,2,1, ,2, ,2, ,2,1, ,2,3,3,1,1,3,1,3,3,3, , , , , , , , , , , ,2,6,3,4,4, ,1,5, , , , , , , , , , , , , ,1954,60305,1,2,4,60130,17031,196,140,1698,A,3,1,1,1,1,1,5,0,0,0
172,3,1,1,3,2,3,1,2,2,2, , , , , , ,6, , , , , , ,2,3,2,5, ,1,1,2,2,1,4,4,3,4,4,2,2,2,2,2,2,2,2,2,2, ,2,1,1,2, ,1, ,1, ,2,1, ,1,2,3,3, , , , , , , , , , , , ,3,3,1,1,1,2,2,2,2,5, ,1,5, , , , , , , , , , , , , ,1947,60033,1,2,3,61012,17007,744,616,4042,B,3,0,1,0,0,0,1,0,0,0
441,3,2,2,2,5,3,1,1,4,2, , , , , , ,1, , , , , , ,1,1,2,2, ,1,1,1,1,3,5,4,4,2,1,2,2,2,1,1,3,1,3,2,2, ,2,3,1,6, ,5, ,1, ,1,1, ,1,2,2,1,1,2,1,3,2,0, , , , , , , , , , , ,2,6,3,4,5, ,3, , , , , , , , , , , , , , ,1974,60950,1,2,6,60950,17091,196,140,2810,A,3,1,1,0,0,0,2,0,0,0
455,3,2,2,2,3,3,2,1,2,2,3, , , , , ,7, , , , , , ,1,3,2,5, ,1,1,1,3,2,5,1,1,1,1,3,2,1,2,1,2,2,2,1,1, ,1,1,1,7, ,6, ,1, ,1,1, ,1,2,3,1,2, , , , , , , , , , , , , , , , ,2,3,3,3,3,1, ,19, , , , , , , ,1, , , ,1,2,1956,61401,1,2,4,61401,17095,246,192,9999,D,3,0,1,1,0,0,2,0,1,0
526,2,2,2,2,2,3,3,2,4,5,3,2,1,4, , ,6, , , , , , ,3,4,1,1, ,1,1,1,1,1,1,5,4,5,3,2,1,3,2,1,3,2,1,2,2, ,2,1,1,2, ,2, ,3, ,2,2, ,1,3,4,2, , , , , , ,2, , , , , , , , , , ,2,5,5,7,1,1, ,5, , , , , , , , , , , , , ,1953,60521,1,2,8,60527,17043,196,140,1698,A,3,1,1,1,1,1,5,0,0,0
532,2,2,2,2,3,3,3,2,2,2, , , , , , ,1, , , , , , ,2,3,1,1, ,1,1,2,4,1,2,2,3,1,3,2,2,2,1,1,2,2,2,2,2,2, ,2,2,1, ,1, ,2, ,2,2, ,2,3,1,3, , , , , , , , , , , , ,2,1,1,2,1,2,5,3,1,1,1, ,5, , , , , , , , , , , , , ,1925,60085,1,3,1,60085,17097,196,140,1698,A,3,1,1,0,0,0,2,0,0,0
577,3,3,3,1,3,3,3,1,2,2,4,5, , , , ,6, , , , , , ,2,3,1,3, ,1,1,2,3,1,1,1,2,1,1,5,2,2,2,2,2,2,2,1,1,1, ,1,2,1, ,6, ,2, ,3,1, ,1,3,3,3, , , , , , , , , , , , ,3,1,1,2,1,1,5,1,2,4, ,3, , , , , , , , , , , , , , ,1981,61030,1,3,1,61030,17141,744,616,9999,B,3,0,1,0,1,1,3,0,0,0
643,3,2,2,3,2,4,2,1,1,2, , , , , , ,6, , , , , , ,2,3,2,3, ,1,2,2,3,1,1,1,2,1,5,1,2,2,2,2,2,2,2,1,1, ,1,2,2,1, ,1, ,2, ,1,1, ,2,3,3,2, , , , , , ,1,0,4,3,0,2, , , , , ,1,6,3,3,5, ,3, , , , , , , , , , , , , , ,1927,60115,1,2,6,60115,17037,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
663,3,2,2,1,2,3,3,1,4,2,3,5, , , , ,1,4, , , , , ,2,3,2,2, ,1,1,1,1,1,1,2,4,3,1,2,2,2,1,2,1,3,1,2,2, ,1,2,1,2, ,2, ,2, ,2,3, ,1,3,3,2, , , , , , ,1,4,0,2,4,0, , , , , ,2,6,4,7,2,1, ,16, , , , , , , , , , , ,1,3,1960,68513,7,2,8,61704,17113,676,556,1406,C,3,1,1,1,1,1,5,0,0,0
680,2,2,2,1,2,4,1,1,1,2, , , , , , ,5, , , , , , ,1,3,1,4, ,1,1,3,2,1,1,1,2,1,4,3,2,1,1,1,2,2,1,1,2, ,1,1,2,1, ,6, ,1, ,2,2, ,2,2,3,3, , , , , , , , , , , , ,1,1,1,2,1,2,2,2,4,3,1, ,5, , , , , , , , , , , , , ,1937,60042,1,2,2,60084,17097,196,140,1698,A,3,0,1,0,0,1,2,0,0,0
694,3,1,2,1,2,4,2,3,2,3, , , , , , ,6, , , , , , ,1,3,1,4, ,1,1,3,2,1,1,2,3,3,3,3,2,2,2,2,2,1,2,1,1, ,2,2,2,2, ,6, ,1, ,2,2, ,2,3,3,1,1,2,1,2,0,0, , , , , , , , , , , ,2,5,2,4,1,1, ,80, , , , , , , , , , , ,2,3,1934,61920,1,2,4,61920,17029,834,116,9999,D,3,0,0,1,0,0,1,0,0,0
720,3,2,2,3,3,1,5,2,4,2,5,3, , , , ,6, , , , , , ,2,3,2,2, ,1,1,1,3,1,2,5,4,4,4,2,3,1,1,1,1,1,1,3,3, ,3,2,2,2, ,2, ,1, ,3,3, ,1,3,3,2, , , , , , ,1,2,1,3,3,3, , , , , ,1,2,4,5,6, ,9, , , , , , , , , , , , , , ,1900,99999,7,7,7,60050,17111,196,140,1698,A,3,0,1,1,0,1,3,0,0,0
731,2,1,2,1,4,3,2,1,3,2, , , , , , ,7, , , , , , ,1,3,1,3, ,1,1,2,3,1,2,2,2,2,1,3,2,2,2,2,2,2,2,3,2, ,2,2,1,5,1,1, ,1, ,1,1, ,2,4,4,1,1,0,3,3,0,3, , , , , , , , , , , ,1,3,2,1,3,2, , , , , , , , , , , , ,5, , ,1927,60154,1,2,4,60160,17031,196,140,1698,A,3,0,1,0,0,0,1,0,1,0
787,2,2,2,3,1,4,1,2,2,6, , , , , , , , , , , , , ,2,1,3, , ,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,2,2,1,1,2,1, ,2,2,2, ,4,1,3, ,2,3, ,2,2,2,1,1,2,1,3,3,3, , , , , , , , , , , ,1,5,4,5,1,1, ,30, , , , , , , , , ,2, ,1,3,1951,60047,1,2,5,60047,17097,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
812,3,2,3,2,4,3,5,1,3,6, , , , , , , , , , , , , ,2,3,2,2, ,1,1,1,3,1,1,1,1,1,1,3,1,1,2,3,2,2,2,1,1,1, ,2,2,2, ,6, ,1, ,2,2, ,1,4,3,1,1,3,0,3,3,1, , , , , , , , , , , ,1,2,4,4,1,1, ,5, , , , , , , , , , , , , ,1930,60115,1,2,3,60115,17037,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
820,3,2,3,1,3,3,5,3,1,6, , , , , , , , , , , , , ,2,3,1,1, ,1,1,1,1,3,2,5,5,5,1,2,3,1,3,3,2,1,2,2,1, ,1,1,2,2, ,2, ,1, ,2,4, ,1,2,3,2, , , , , , ,1,4,0,2,1,4, , , , , ,1,2,5,7,4, ,1,5, , , , , , , , , , , , , ,1916,60420,1,2,8,60420,17105,676,556,9999,D,3,0,0,0,0,0,0,1,0,1
908,2,2,2,2,3,3,1,1,2,2, , , , , , ,5, , , , , , ,2,3,1,3, ,1,1,3,4,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2, ,1,1,2,1, ,6, ,2, ,2,1, ,2,2,1,3, , , , , , , , , , , , ,1,1,1,2,1,2,7,4,8,1,1, ,5, , , , , , , , , , , , , ,1929,60130,1,2,8,60130,17031,196,140,1698,A,3,0,1,0,0,1,2,0,0,0
980,2,2,2,2,3,3,1,1,3,6, , , , , , , , , , , , , ,2,2,1,1, ,1,1,1,3,1,1,1,1,1,5,2,2,2,2,2,2,2,1,2,2, ,3,2,1,2, ,2, ,1, ,2,2, ,1,3,3,2, , , , , , ,1,4,0,4,4,2, , , , , ,2,3,4,6,4, ,1,5, , , , , , , , , , , , , ,1960,60013,1,2,8,60013,17111,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
