id,area,type,rwdirusa,rwdiril,rwdirlocal,qlife,pres12_oba_rom,pres12_oba_rom_comment,impress_oba,impress_rom,app_gov_quin,app_pres_oba,el_honest_us,el_honest_il,leg_per_prof,leg_pubemp,leg_st_biz,term_lim,term_leader,cf_lim_leader,prim_nodeclr,redist_hat,redist_neutral,redist_commis,off_otherjob,off_taxrec,off_govprof,off_loans,off_lobby,off_reltax,off_privbiz,off_ethics,off_giftlim,off_giftlim2hi,inf_proc,inf_lgrts,inf_prol,inf_biz,inf_evch,inf_priunion,inf_occupy,inf_teapar,inf_ilcoc,inf_nra,inf_cathch,inf_pubunion,crpt_biz,crpt_ilsprd,crpt_ilothst,crpt_locil,app_citun,cf_limneed,off_2blobby,wealth_reason,wealth_distfair,wealth_fedpolicy,leg_hypoth,abort_leg,lg_rights,id_il,education,ideology,party_aff_og,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,relig_denom,relig_what,born_again,zip,birth_yr,rac_eth,hhinc,education_redo,ideology_redo,party_aff_redo,employ_time_redo,gender,language,areacode,party_aff,Generation
000229,2,1,3,3,1,3,1, ,4,3,5,9,1,1,3,4,4,1,4,2,4,1,4,2,3,9,3,4,9,4,1,2,500, ,9,2,2,2,3,2,9,1,9,9,3,2,1,1,3,2,9,2,1,1,2,1,2,3,4,1,6,2,1,1,3, ,2,1, ,18, ,2,60652,1959,2,5, , ,1, ,2,1,773,1,2
001543,1,1,1,1,2,3,1, ,4,9,4,4,1,1,2,9,9,3,3,9,2,3,3,1,3,3,3,4,4,4,4,4, ,200,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,3,2,1,1,1,1,2,2,1,1,1,6,1,1,1,1, ,5, ,1,19, ,2,60614,1954,1,4, , ,2, ,2,1,312,1,2
002353,2,1,1,2,2,1,1, ,5,3,4,5,1,1,4,4,4,1,4,4,3,1,3,1,4,9,4,4,4,3,3,4, ,100,1,2,1,2,1,2,2,2,9,2,1,9,1,1,3,9,1,1,1,1,2,1,9,1,4,1,6,1,3,2,4, ,3,1, ,16, ,2,60527,1963,1,9, ,1, , ,2,1,630,1,2
000266,2,1,2,2,2,3,1, ,4,1,1,4,2,2,4,4,4,1,4,4,4,1,3,1,4,4,4,4,4,4,4,4,25, ,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,5,3,3,1,1, ,1,1, ,5, , ,60543,1963,1,6, , ,3, ,1,1,630,1,2
000720,3,1,3,2,2,3,9, ,3,1,1,4,2,2,4,3,4,1,4,4,4,2,3,1,4,4,4,4,3,3,4,4, ,500,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,9,2,2,4,1,2,3,4,3, ,1,1,1, ,99, ,1,61401,0,1,9, ,2, , ,2,1,309,2,0
001510,1,1,2,1,1,2,1, ,5,1,9,5,2,1,4,4,4,1,4,4,3,1,3,1,4,4,4,4,4,4,4,4,25, ,3,3,1,3,1,3,3,1,1,1,1,3,2,2,3,3,1,1,1,2,2,1,2,2,1,1,5,1,1,1,4, ,3,1, ,5, , ,60614,1949,1,3, ,1, , ,1,1,312,1,2
001699,3,1,2,2,1,2,4, ,1,3,1,1,1,2,3,2,3,1,3,3,4,1,4,2,3,4,4,4,4,4,4,3, ,500,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,3,1,1,3,3,6,3, ,1,1,1, ,5, , ,46970,1936,1,1, ,4, , ,1,1,815,3,1
002200,3,1,2,2,3,3,4, ,2,4,1,9,1,1,3,1,2,2,3,1,1,2,2,2,1,3,3,3,1,1,4,4,5000, ,3,2,3,2,3,3,2,2,2,2,2,3,2,1,1,3,3,2,2,1,1,2,2,2,3,1,1,3,7,1,3, ,1,1, ,30, ,1,61821,1961,1,4, ,4, , ,1,1,217,3,2
001253,3,1,1,2,2,3,1, ,4,9,1,4,1,1,4,4,3,1,4,4,1,3,3,2,4,3,4,4,4,4,4,4, ,999999,2,2,2,1,1,1,2,1,2,1,2,1,1,1,3,3,1,1,1,2,2,1,2,2,2,1,3,2,1,3, ,1,4, ,1,13, ,2,60416,1943,1,2,3, , , ,2,1,815,1,1
001796,1,1,3,1,1,2,1, ,5,1,4,4,2,1,4,4,4,1,3,4,4,1,4,1,3,4,4,4,4,4,4,4,0, ,3,2,1,1,2,2,3,1,1,1,2,3,2,1,3,3,1,1,1,2,2,1,2,1,1,1,6,1,1,1,2, ,1,1, ,5, , ,60616,1955,1,3, , , ,1,2,1,312,1,2
002356,2,1,2,1,2,4,5, ,2,9,2,1,1,1,4,4,4,1,3,4,4,1,3,1,3,3,4,4,4,2,3,4,500, ,1,1,3,3,2,1,9,1,3,1,2,1,9,1,1,3,1,1,1,1,1,2,2,3,2,1,6,3,7,3, ,3,1,1, ,5, , ,60021,1946,1,3, ,4, , ,2,1,847,3,1
000290,1,1,1,1,1,1,1, ,4,3,4,5,2,1,2,1,3,2,4,1,3,4,1,1,4,1,1,1,2,1,1,4, ,999999,9,1,9,9,9,9,9,9,3,1,9,9,2,2,3,3,3,2,2,1,2,9,2,1,3,1,1,2,1,3, ,4,5, ,1,5, , ,60614,1943,4,1,1, , , ,2,1,312,1,1
000736,3,1,2,2,2,2,5, ,2,4,1,1,2,2,4,4,4,1,4,4,4,1,4,2,4,4,4,4,4,4,4,4,100, ,3,9,3,9,2,3,9,9,9,1,1,1,1,1,1,3,1,1,1,1,9,2,1,4,2,1,2,9,4,3, ,3,1,1, ,3, ,1,62236,1937,1,9, , , ,3,1,1,618,2,1
001274,3,1,1,1,1,3,1, ,4,4,4,5,1,1,4,1,1,1,4,4,1,1,3,1,2,4,4,4,4,2,3,4,100, ,2,2,1,2,2,2,1,2,3,2,2,3,1,1,3,2,4,2,2,2,2,1,2,2,2,1,2,1,1,3, ,1,3,1, ,5, , ,61301,1935,1,3, , , ,3,1,1,815,1,1
001752,3,1,2,2,2,3,9, ,1,2,2,1,1,2,4,4,4,1,4,4,4,3,4,1,4,4,4,4,4,4,4,4,200, ,2,2,2,3,2,3,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,1,2,2,2,1,3,1,3,1,4, ,2,1, ,30, ,2,61450,1974,1,5, , ,2, ,2,1,217,1,3
001480,3,1,2,3,1,3,9, ,3,3,4,2,1,2,1,9,3,2,3,3,4,2,3,1,3,3,3,9,4,3,3,4,500, ,9,9,9,9,9,2,9,9,9,9,9,2,2,1,1,3,2,1,2,1,9,2,9,1,1,1,5,2,6,2,1, ,9, ,1,19, ,2,61063,1953,1,9, , ,6, ,2,1,815,3,2
000292,2,1,1,2,1,2,1, ,5,2,4,5,2,2,4,3,4,1,3,3,4,3,3,1,3,4,4,4,4,4,4,4, ,999999,2,3,1,1,1,2,2,1,2,1,1,2,1,1,3,3,1,1,2,2,2,1,1,1,1,1,6,1,1,1,4, ,2,1, ,1, ,2,60640,1959,1,6, , ,1, ,1,1,773,1,2
000786,2,1,1,3,1,1,1, ,5,2,4,5,1,1,4,4,1,1,2,3,4,1,4,1,4,4,3,4,4,3,4,4, ,100,2,3,2,1,1,3,9,1,1,1,2,3,1,2,3,2,1,2,9,2,2,1,2,3,2,1,5,3,3,1,1, ,2,1, ,1, ,1,60130,1948,2,4, ,1, , ,2,1,708,1,2
001402,3,1,1,1,1,3,1, ,5,4,4,5,2,2,9,2,9,3,4,1,3,9,9,1,3,3,3,3,3,3,3,4,100, ,2,2,2,2,2,9,2,2,2,9,3,2,9,9,3,3,9,9,9,2,1,1,2,1,1,1,3,1,2,3, ,9,4, ,1,3, ,2,61866,1935,2,2, ,2, , ,2,1,217,1,1
002686,2,1,2,2,2,3,5, ,1,5,1,1,2,2,4,4,4,1,4,4,4,2,4,1,4,4,4,4,4,4,4,4,300, ,3,1,3,2,2,2,2,2,2,1,3,2,1,1,1,1,3,2,2,2,1,2,1,2,2,1,6,1,7,3, ,9,1,1, ,5, , ,60543,1944,1,3, ,2, , ,2,1,630,3,1
