id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,gen14_vote,gen14_poll,gen14_likelyvoter,gen14_enthus,gen14_house,gen14_housecol,gen14_house_other,gen14_gov,gen14_gov_col,gen14_gov_other,gen14_ussen,gen14_ussen_col,gen14_ussen_other,gen14_voter,gen14_victim,gen14_minwage,gen14_insbc,tax_inc_mil,redist_neutral,redist_commis,cf_lim_judg,cf_pub_judg,app_teapar,vote_teapar,ed_hscivics,ed_hscom,ed_mscom,gun_rts1,gun_rts2,gun_own,gun_concealsafe,gun_85percent,gun_bigmin,fix_deficit_il,tax_inc_temp,cops_makeup,cops_protect,cops_pro1,cops_rate,cops_rate1,cops_match,cops_mat1,cops_respond,cops_resp1,cops_mil,abort_leg,lg_rights,betteroff_now,beteroff_1yr,news_often,education,ideo_leans,ideology,party_leans,party_aff1,employ_time,employ_type,retired_type,relig_often,relig_1,relig_2,religion,born_again1,born_again,zip,age_cat,birth_yr,rac_eth1,rec_eth_other,neighborhood1,neighborhood,hhinc1,male,female,Generation,hhinc,party_aff,rac_eth
002458,2,1, , ,1,1,1,1,2,1,1,1,1,1,2,4,2, ,1,1, ,1,1, ,9,3,2,3,2,4,1,2,2,3,5,3,3,3,2, ,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,6,3,2,5,3,3, ,3,1,1, ,1,5,2,60134,9,1953,1, ,5,5,6,1,0,2,3,3,1
000255,2,1, , ,1,1,1,2,2,1,2,1,2,2,8,9,9, ,6,3, ,6,3, ,1,1,1,2,1,1,1,1,1,4,3,1,4,3,2, ,2,8,1,4,3,2,1,1,1,2,1,1,1,1,1,2,2,3,3,3,1,2,3,2,2,1,1,1, ,4, ,1,1,5,2,60174,9,1950,1, ,5,5,3,1,0,2,1,1,1
000810,2,1, , ,1,1,1,3,2,2,2,1,1,1,8,3,2, ,3,2, ,3,2, ,1,9,2,1,1,9,1,2,9,3,5,9,2,9,2, ,2,8,2,3,3,2,1,2,1,3,2,2,1,9,9,2,2,1,3,3,4,6,3,2,4,2,1,2, ,2,1, ,1,5,2,60013,6,1966,1, ,5,5,9,1,0,3,9,2,1
002558,2,1, , ,1,1,2,1,1,1,1,1,1,1,1,1,1, ,3,2, ,3,2, ,1,1,1,1,1,1,2,1,1,4,5,1,1,1, ,2,2,2,1,1,1,1,2,1,1,1,1,4,3,1,1,2,1,1,1,1,2,6,1,1,1,1,3, ,4,5, ,3,3, , ,60035,8,1958,1, ,5,5,9,0,1,2,9,1,1
000675,2,2,1,1, ,1,1,1,1,1,2,2,2,2,2,4,2, ,1,1, ,3,2, ,2,2,2,2,1,3,1,2,3,8,9,3,2,3, ,1,1,2,1,1,4,1,2,1,1,1,1,1,1,1,1,2,2,1,1,3,1,3,3,2,6,3,2,2, ,4, ,1,1,5,2,60540,1,1993,4, ,5,5,5,1,0,4,2,3,3
001882,2,1, , ,1,1,1,2,2,2,5,1,1,1,1,4,2, ,1,1, ,8,8,BOB KIRK,3,2,4,4,2,2,1,3,2,1,1,1,2,2,1, ,1,1,1,9,2,2,2,5,2,4,2,2,1,5,3,1,2,1,3,3,1,3,5,3,5,3,3, ,3,4, ,1,1,5,2,60411,10,1948,1, ,6,6,4,1,0,2,2,3,1
000271,2,1, , ,1,1,2,1,1,2,2,1,1,1,1,1,1, ,3,2, ,3,2, ,1,1,1,1,1,1,1,2,1,8,4,1,1,1,2, ,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,3,3,1,2,1,1,1,1,2,2, ,5, ,1,1,5,2,60653,10,1947,2, ,1,1,1,0,1,2,1,1,2
002760,2,1, , ,1,1,1,1,1,1,1,1,1,1,8,1,1, ,3,2, ,3,2, ,3,4,1,2,1,2,2,1,2,3,5,2,3,4, ,1,1,1,2,4,3,2,2,2,1,2,1,9,9,1,1,2,1,1,1,1,1,5,3,2,4,2,1,3, ,4, ,1,1,5,2,60056,8,1957,1, ,6,6,6,1,0,2,3,2,1
000839,3,2,1,1, ,1,2,2,2,2,3,1,1,1,1,9,9, ,9,9, ,9,9, ,1,4,1,1,1,9,3,9,9,9,9,9,3,3,9, ,9,8,1,1,5,3,1,5,2,5,2,3,2,4,3,2,3,1,2,3,2,3,9,9,4,2,4, , ,4, ,1,1,2,1,62272,2,1988,1, ,4,4,1,0,1,4,1,2,1
002117,3,2,1,1, ,1,2,2,2,3,2,1,2,2,1,4,2, ,1,1, ,1,1, ,4,1,3,4,2,3,1,1,3,2,3,1,1,2,1, ,1,1,1,2,1,2,2,2,1,2,1,9,9,2,1,2,3,3,3,3,3,5,5,3,7,3,1,4, ,1,1, ,1,1,1,62025,6,1966,1, ,5,5,7,0,1,3,4,3,1
002893,3,2,1,1, ,1,1,1,2,2,5,1,1,1,1,1,1, ,3,2, ,3,2, ,1,1,9,4,2,1,1,2,1,8,1,1,1,1, ,1,1,1,1,1,1,1,1,2,1,2,1,5,3,1,1,1,1,3,2,2,1,3,4,3,1,1,4, , ,3,1, ,1,5,2,61014,9,1953,1, ,6,6,4,1,0,2,2,1,1
000620,3,1, , ,1,1,1,2,2,1,2,1,1,1,1,3,2, ,1,1, ,3,2, ,3,2,1,3,1,3,1,3,2,4,5,2,2,3,2, ,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,2,4,3,9,9,3, ,1,2,1, ,1,5,2,60014,12,1938,1, ,5,5,3,1,0,1,1,9,1
001388,3,1, , ,1,1,2,2,2,1,3,1,1,1,1,3,2, ,1,1, ,1,1, ,2,1,4,1,1,9,2,1,4,1,9,4,1,3,1, ,1,1,1,4,2,2,2,2,1,3,2,1,1,1,1,2,1,1,2,2,1,5,3,2,4,2,1,3, ,5, ,1,1,5,2,61234,9,1954,1, ,5,5,4,0,1,2,2,2,1
001692,3,1, , ,1,1,2,2,2,1,2,1,1,1,2,1,1, ,5,3, ,3,2, ,2,1,1,1,2,2,1,1,1,4,5,1,2,1, ,9,9,1,1,1,2,1,2,2,1,3,2,2,1,1,1,2,2,2,2,3,1,5,3,2,3,1,3, ,1,1,1, ,1,1,1,61607,12,1939,1, ,5,5,3,0,1,1,1,1,1
