DownSt_NW,vet_1recodecol,vet_2recodecol,Area618,AreaSE618,Longitude,DownSt_South,UnionDum,pen_bnkil_dum,Area4,id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_pres_oba,app_ussen_dur,fix_deficit_il,cuts_K12,cuts_he,cuts_uni31,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_gas10,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50K,tax_inc_temp,tax_temp_inc45,tax_inc_mil,tax_inc_grad,frack_know,frack_safe,frack_bene,grow_dt,safe_walk,mod_trans,mod_trans_other,prefer_cars,local_food,vet_greatest,vet_greatest_other,vet_2ndgreat,vet_2ndgreat_other,news_social,news_nat_paper,news_loc_paper,news_nat_tv,news_loc_tv,news_nat_radio,news_loc_radio,news_online_cons,news_online_libs,social_shrviews,pens_bnkrpt_il,pens_bnkrpt_chi,abort_leg,lg_rights,feel_priv_union,feel_pub_unioin,feel_muslims,feel_lds,education,ideology2,party_leans,employ_time,employ_type,retired_type,union,relig_often,relig_1,relig_2,born_again,vet_you,vet_family,zip,age_cat,birth_yr,rac_eth1,rac_eth_other,neighborhood,hhinc1,party_aff1,ideology,vet_self,vet_dum_ue,vet_dum_underem,vet_dum_ptsd,vet_dum_va,vet_dum_phy,vet_dum_vbi,vet_dum_homeless,vet_dum_tech,vet_dum_college,vet_dum_sui,vet_dum_drug,vet_dum_famrel,vet_dum_other,vet_dum_DKNR,vet_1recode,vet_2recode,vet_cc_econ,vet_cc_mental,vet_cc_health,vet_cc_va,vet_cc_edu,vet_cc_other,vet_cc_DKNR,vet_cc_respect,N3_cat,N4_cat,City,County,Latitude,Chicago,CollarCounty,Cook_NoChi,Chi_Suburbs,DownState,area_chi,area_suburbs,area_downstate,vet_family2,AreaCode,vet_va_health,app_rau_col,app_kirk_col,app_oba_col,app_dur_col,vet_you_fam,feel_priv_col,feel_pub_col,feel_mus_col,feel_lds_col,RE_Col,usa_1,rway_usa,rway_il,rway_local,N3_B,RE_W,N3_ORE,RE_B,N3_W,RE_ORE,Age_col,Age__1,Age__2,Age__3,Age__4,HHI_Col,BA_yes,Female,Emp__FT,Emp__PT,Emp__Ret,Emp__Not,Emp__DKNR,Dem,Ind,Rep,Party__DKNR,Lib,Mod,Con,vet_va_health2,Generation,hhinc,party_aff,rac_eth
1,3,2,0,0,87.81,0,0,0,2,001330,2,1, , ,1,1,1,1,2,2,2,1,1,5,5,3,2,2,2,1,2,2,2,2,1,1,1,2,2,2,4,1,1,1,4,2,1,1,1, ,2,3,13,MEDICAL SERVICES,3, ,1,7,7,7,7,1,0,0,2,1,2,2,2,1,1,1,1,4,6,1,1,1,2, ,2,4, ,2, ,5,2,60707,7,1960,4, ,3,6,1,1,2, , ,1, , , , , , , , , ,1, ,15,3,0,1,1,0,0,0,0,0,1,1,Elmwood Park,Cook,41.92,0,0,1,1,0, , , ,2,708773312,1,1,1,3,3,4,1,1,1,2,3,1,1,0,0,1,0,0,0,0,1,3,0,0,1,0,5, ,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,3,1,3
 ,9,9,0,0,87.68,0,0,1,1,000622,1,2,1,1, ,1,1,2,1,1,2,4,4,1,4,3,2,1,1,1,2,2,2,1,1,1,1,1, ,2,2,2,2,1,2,1,1,1,1, ,2,2,14, , , ,7,7,0,0,0,5,0,0,0,1,1,1,1,1,4,4,3,5,5,3,4,1,1, ,2,4, ,1,2,5,2,60607,3,1983,4, ,9,7,2,2,2, , , , , , , , , , , , , ,1,14,14,0,0,0,0,0,0,1,0,2,4,Chicago,Cook,41.83,1,0,0, , , , , ,2,312773847,0,3,3,1,3,4,2,2,2,5,3,2,0,1,1,0,0,1,0,0,1,2,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,3,4,2,3
 ,3,9,0,0,87.68,0,1,0,1,000759,1,2,1,1, ,1,1,2,2,1,2,1,4,1,4,1,2,2,2,2,3,2,2,2,2,2,1,1, ,1, ,1,1,1,2,1,1,1,1, ,2,3,4, ,14, ,0,7,1,7,7,0,0,0,0,1,2,2,1,1,1,1,5,3,2,6,4,1,1, ,1,3,1, ,2,2,2,60616,9,1950,1, ,7,9,2,9,1, , , ,1, , , , , , , , , ,1,4,14,0,0,0,1,0,0,1,0,3,3,Chicago,Cook,41.83,1,0,0, , , , , ,2,312773630,1,1,3,1,3,2,1,1,5,2,1,2,0,0,1,0,1,0,0,1,0,3,0,0,1,0, ,0,0,1,0,0,0,0,0,1,0,0, , , ,1,2,9,2,1
 ,3,1,0,0,87.7,0,0,1,1,000873,1,2,1,1, ,1,1,2,3,1,2,3,4,4,5,1,2,3,3,2,3,2,2,1,1,1,3,2,1,1, ,1,1,2,3,2,3,2,1, ,4,3,4, ,1, ,0,0,7,2,2,0,0,0,0,3,1,1,1,1,1,2,2,1,5,1,2,1,1, ,2,5, ,1,2,5,2,60805,7,1960,1, ,7,6,1,1,2,1, , ,1, , , , , , , , , , ,4,1,1,0,0,1,0,0,0,0,3,3,Evergreen Park,Cook,41.72,0,0,1,1,0, , , ,2,708773,1,2,3,3,3,4,1,1,1,1,1,2,0, ,1,0,1,0,0,1,0,3,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,3,1,1
 ,1,2,0,0,87.68,0,0,1,1,001182,1,2,1,1, ,1,1,2,3,3,2,4,3,2,2,3,2,1,1,1,2,2,2,1,1,1,2,2,1,2,4,1,2,2,2,1,2,2,1, ,2,1,1, ,3, ,0,7,1,7,0,7,7,7,7,2,1,1,2,1,2,4,1,2,6,4,7,1,2, ,2,3,1, ,2,5,2,60659,7,1962,1, ,7,7,3,3,2,1, ,1, , , , , , , , , , , ,1,3,1,1,0,0,0,0,0,0,3,3,Chicago,Cook,41.83,1,0,0, , , , , ,2,773312847,0,3,2,1,1,4,1,2,1,1,1,2,0, , ,0,1,0,0,1,0,3,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,4,3,1
 ,2,2,0,0,87.68,0,0,1,1,000100,1,1, , ,1,1,2,1,1,1,1,3,2,4,4,3,2,2,2,2,1,2,2,1,1,1,1,2,1,1, ,1,2,2,2,1,3,2,4, ,2,2,3, ,12, ,0,0,1,0,0,5,5,0,0,3,1,1,1,1,1,1,1,1,6,2,3,1,2, ,2,5, ,3, ,5,2,60614,6,1968,1, ,7,7,1,1,2, , ,1, , , , , , , , ,1, , ,3,12,0,1,0,0,0,0,0,0,3,3,Chicago,Cook,41.83,1,0,0, , , , , ,2,312773,0,2,1,3,3,4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,3,0,0,1,0,5, ,1,1,0,0,0,0,1,0,0,0,1,0,0,2,3,4,1,1
1,2,8,0,0,89.06,0,0,0,3,001093,3,1, , ,1,1,2,3,2,1,3,3,3,2,4,4,2,3,2,2,2,2,2,2,2,2,2,2,3,2,5,1,1,1,4,2,2,2,1, ,2,2,3, ,13,RACIAL ISSUE,5,0,7,6,6,0,1,1,5,2,2,2,2,1,5,5,5,2,2,3,3,3, ,1,2,1,1, ,2,5,1,61108,13,1930,1, ,7,3,1,2,2, , ,1, , , , , , , , , ,1, ,3,13,0,1,0,0,0,1,0,0,3,3,Rockford,Winnebago,42.27,0,0,0, , , , , ,1,815,0,2,2,1,3,3,5,5,5,1,1,3, ,0,1,0,1,0,0,1,0,4,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,1,1,1,1
 ,2,2,1,1,88.91,1,1,1,4,001277,3,1, , ,1,1,2,2,1,1,4,4,9,2,4,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,5,1,1,1,4,2,1,6,1, ,1,2,3, ,12, ,0,0,7,7,7,2,7,0,0,3,1,3,2,2,1,1,5,5,3,3,1,3, ,3,1,1,1, ,1,5,1,62812,13,1927,1, ,8,5,1,2,2, , ,1, , , , , , , , ,1, , ,3,12,0,1,0,0,0,0,0,0,3,3,Benton,Franklin,38,0,0,0, , , , , ,1,618,0,3,9,1,3,3,1,1,5,5,1,2,0,1,1,0,1,0,0,1,0,4,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2,1,2,1,1
 ,1,2,1,0,90.32,1, ,1,4,001594,3,1, , ,1,1,2,2,2,1,3,3,2,1,3,2,2,1,1,2,3,1,2,1,2,2,2,2,2,2,4,2,2,2,1,1,1,1,1, ,3,2,1, ,12, ,1,2,3,7,7,6,5,4,4,3,1,3,2,2,4,4,2,2,5,4,5,4, , , ,1,1, ,2,5,1,62052,7,1963,1, ,8,6,3,3,2,1, , , , , , , , , , ,1, , ,1,12,1,1,0,0,0,0,0,0,3,3,Jerseyville,Jersey,39.11,0,0,0, , , , , ,1,618,0,2,1,1,2,3,2,2,1,1,1,2,0,0,1,0,1,0,0,1,0,3,0,0,1,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,2,3,3,1
1,9,9,0,0,88.1,0,0,1,2,000935,2,2,1,1, ,1,1,2,3,1,2,4,4,2,4,1,2,1,2,2,2,1,2,1,1,1,1,1, ,1, ,1,1,2,2,1,2,2,1, ,1,2,14, , , ,0,7,7,0,1,0,0,0,0,1,1,1,1,3,4,3,2,2,5,3,6,1,4, ,2,4, ,1,2,5,1,60187,4,1977,1, ,7,5,3,2,2, , , , , , , , , , , , , ,1,14,14,0,0,0,0,0,0,1,0,3,3,Wheaton,Dupage,41.85,0,0,0, , , , , ,1,630,0,3,3,1,3,3,2,2,1,1,1,2,0, ,1,0,1,0,0,1,0,2,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,3,2,3,1
