id,date,int_lang,area,type,S1,S2,S3,S5,gender,rwdirusa,rwdiril,rwdirlocal,qlife,raunerappog,Q6,Q7,Q8,Q9,Q10,Q11,Q11_oth,Q12,Q12_oth,Q13,Q13_oth,Q14,fix_deficit_il,stale_budg_aff,Q16AM1,BudgetAffect,Q16A_oth,Q16AM2,Q16AM3,Q16AM4,Q16AM5,Q16AM6,Q16AM7,Q16AM8,Q16AM9,view_unions_og,right2work_og,union_inf,Q20,Q21,desire_move,Q23,Q23_oth,ReasonMoveCollapse,term_lim,redist_commis,Q26,env_econ,vet_sentence,education,ideology_og,party_aff_og,Q32,Q33,Q34,Q35,QR01,QR02A,QR02B,QR03,Q36,Q37,Q38,Q39_cat,birth_yr,rac_eth1,Q40_oth,hhinc1,Generation,party_aff1,ideology,age_cat50,BudgAffectCOL,raunerapp,unionview,right2work,fairshr,gaslockbox,madapp,cullapp,enthusiasm,prez16,senate16,comptroller16,climate_chng,likely_move,hhinc,party_aff,rac_eth
027143,20160927,1,1,1, , ,1,1,2,2,2,2,5,5,5,2,1,1,2,3, ,3, ,10, ,1,2,1,14,14,yes, , , , , , , , ,5,2,1,1,5,1,9, ,5,1,2,2,1,1,5,4,1,1,2, ,2,4, ,1,1,5,2,60612,4,1980,2, ,5,3,1,3,1,4,2,3,1,1,1,2,1,2,2,2,5,2,2,2,1,2
080774,20160929,1,3,2,1,1, ,1,2,2,2,2,5,5,9,5,1,1,1,1, ,1, ,1, ,1,5,1,14,12,WORKMAN'S COMP CLAIMS, , , , , , , , ,1,4,1,1,2,1,9, ,5,1,1,2,2,2,4,3,7,4, , ,1,4, ,1,2,5,1,62035,8,1959,1, ,4,2,3,2,2,1,2,1,2,1,1,3,2,1,1,1,1,2,1,2,3,1
013152,20160928,1,3,2,1,1, ,1,1,2,2,2,1,5,4,9,1,1,2,9,Write in or Darren castle,10, ,1, ,2,2,1,14,9,Worked for state and had checks withheld., , , , , , , , ,2,3,3,1,5,1,21,State government,6,1,1,2,1,1,2,4,5,1,1, ,2,3,1, ,2,5,2,62075,3,1982,1, ,6,3,3,3,1,2,2,1,2,1,1,2,3,2,5,5,1,2,2,3,3,1
002854,20160927,1,3,2,1,1, ,1,1,1,2,2,2,5,4,2,1,1,2,3, ,4, ,4, ,4,1,1,14,9,Wife vendor not paid and I'm a state employee., , , , , , , , ,2,3,1,2,5,2, , , ,2,1,1,1,1,6,2,1,1,3, ,1,5, ,1,2,5,1,62563,6,1969,1, ,6,3,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,3,1,1
078561,20160929,1,1,2,1,1, ,1,1,1,2,1,3,5,5,9,1,1,4,3, ,3, ,1, ,1,3,1,14,9,"Waiting for income tax refund, but deficit makes insufficient funds to process the returns, filed in", , , , , , , , ,2,5,2,1,5,1,2, ,2,1,1,1,1,1,6,2,3,1,1, ,2,5, ,1,2,5,1,60614,9,1953,1, ,7,2,1,1,2,2,2,1,3,1,1,2,3,4,2,2,1,1,2,4,1,1
026832,20160929,1,2,1, , ,1,1,1,2,2,2,3,4,4,5,1,2,2,1, ,10, ,1, ,1,3,1,3,3,VA money,14, , , , , , , ,3,2,3,2,2,1,2, ,2,1,2,2,1,1,6,3,6,3, ,1,2,4, ,1,2,5,1,60506,12,1940,1, ,2,1,3,2,2,1,2,2,1,2,1,2,2,2,1,5,1,2,1,1,3,1
067250,20160929,1,2,1, , ,1,1,2,1,2,2,2,2,5,4,1,1,2,4, ,3, ,10, ,1,2,1,14,9,underfunding of pensions, , , , , , , , ,2,5,4,1,1,1,9, ,5,1,2,1,1,1,5,3,2,1,1, ,2,3,1, ,2,5,1,60025,8,1959,1, ,3,2,1,2,2,2,1,1,3,1,1,2,2,2,2,2,5,1,1,1,1,1
081333,20160929,1,3,2,1,1, ,1,1,2,2,1,2,2,5,4,1,1,2,1, ,1, ,10, ,1,2,1,14,9,uncertainty of the state of my employment, , , , , , , , ,4,3,3,1,3,1,21,the budget,6,1,1,2,3,1,5,5,6,1,3, ,1,4, ,1,2,5,2,62920,6,1969,1, ,6,3,3,3,1,2,1,2,2,1,1,2,2,2,1,1,5,2,1,3,3,1
008081,20160927,1,3,2,1,1, ,1,1,1,1,1,3,2,9,1,1,3,2,3, ,10, ,10, ,1,3,1,14,7,Transportation, , , , , , , , ,2,2,1,2,5,2, , , ,2,2,1,1,2,2,5,9,1,1, ,2,4, ,1,1,5,2,62223,14,0,2, ,9,0,9,3,0,3,1,1,1,2,1,3,1,2,2,5,5,1,2,9,9,2
086417,20161002,1,2,1, , ,1,1,2,2,2,1,1,4,4,9,1,1,2,3, ,3, ,10, ,1,3,1,14,12,They are cutting back on getting money to their residential services and day programs for the handic, , , , , , , , ,2,2,2,1,4,2, , , ,1,1,2,1,1,5,3,1,3, ,1,2,1,1, ,2,5,1,60030,13,1934,1, ,9,1,1,2,2,1,2,1,1,1,1,2,3,2,2,2,5,2,2,9,1,1
