group,short,code,text,notes,0,1,2,3,4,5,6,7,8,9,2009,2010,2011,2012,2013,2014SP,2014FA,2015,SP2016,FA2016
outlook,Quality of Life,qlife,"Taking everything into account, would you say the overall quality of life in your area is excellent, good, average, not so good, or poor?",,,Excellent,Good,Average,Not so good,Poor,,,,DKNR,x,x,x,x,N/A,x,x,x,x,x
outlook,Direction of Illinois,rwdiril,"What about the direction of the State of Illinois? Generally speaking, are things in Illinois going in the right direction, or are they off track and heading in the wrong direction?",,,Right direction,Wrong direction,Other/Don't know,,,,,,,x,x,x,x,x,x,x,x,x,x
outlook,Direction of Local Area,rwdirlocal,"How are things going in your city or area of the state? In general, are things in your city or area going in the right direction, or in the wrong direction?",,,Right direction,Wrong direction,Other/Don't know,,,,,,,x,x,x,x,x,x,x,x,x,x
outlook,Direction of USA,rwdirusa,"Generally speaking, do you think things in our country are going in the right direction, or are they off track and heading in the wrong direction?",,,Right direction,Wrong direction,Other/Don't know,,,,,,,x,x,x,x,x,x,x,x,x,x
reform,Redistricting Commision,redist_commis,People have proposed a constitutional amendment that would have legislative district maps created and recommended by a commission that is independent of the elected representatives. Would you favor or oppose this proposal?,,,Favor,Oppose,Other/Don't know,,,,,,,N/A,x,x,x,x,N/A,x,N/A,x,x
reform,Term Limits,term_lim,"A proposal to limit state legislators to a total of eight years of service, whether in the House of Representatives, the State Senate, or a combination of the two. Would you favor or oppose this proposal?","In 2010, 2011, 2012 the question was more specific asking about a proposal to ""limit state representatives to five consecutive two-year terms and state senators to three consecutive four-year terms.""",,Favor,Oppose,Other/Don't know,,,,,,,N/A,x,x,x,N/A,x,N/A,N/A,x,x
reform,"Gas Tax ""Lockbox""",gaslockbox,"On the ballot in November is an amendment to the Illinois Constitution that would make sure funds from the gasoline tax, tolls, license fees, and other transportation levies can only be spent on roads, bridges, and other transportation-related projects. If that question were on the ballot today, would you vote for or against it?",,,Favor,Oppose,Other/Don't know,,,,,,,,,,,,,,,,x
budget,Fix Illinois Deficit,fix_deficit_il," I'm going to read three statements that people have made about how to fix the deficit, and ask you which one comes closest to your views. If you haven't thought much about this issue, just tell me that. We can only fix the problem by taking in more revenue, such as a tax increase; we can fix the problem by cutting waste and innefficiency in government, OR the budget problem is so large it can only be solved by a combination of budget cuts and revenue increases. ",Each year the current deficit was stated. This has varied. ,,Increase revenues,Cut waste,Both increase revenues and cut waste,Haven't thought much about it,Other/Don't know,,,,,x,x,x,N/A,x,x,x,x,x,x
budget,Pension Cuts,pen_cuts,Do you favor or oppose cuts in state spending on pension benefits for state workers' retirement?,,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Cuts to Public Safety,cuts_cops,"Do you favor or oppose cuts in state spending on public safety, such as state policy and prison operations?",,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Cuts to Programs for Disabled,cuts_dis,Do you favor or oppose cuts in state spending on programs for people with mental or physical disabilities?,,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Cuts to Higher Education,cuts_he,Do you favor or oppose cuts in state spending on state universities?,,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Cuts to K-12 Education,cuts_K12,Do you favor or oppose cuts in state spending on kindergarten through high school education?,,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Cuts to Parks and Recreation,cuts_parks,"Do you favor or oppose cuts in state spending on natural resources, such as state parks or environmental regulation?  ",,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Cuts to Programs for Poor People,cuts_poor,Do you favor or oppose cuts in state spending on programs for poor people?,,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,N/A,x,N/A,x,x,N/A
budget,Expand Gambling,gamble_exp,Do you favor or oppose a proposal to expand legalized gambling in the state?,,,Favor,Oppose,Other/Don't know,,,,,,,x,x,x,N/A,x,x,N/A,x,x,N/A
budget,Tax Services,tax_services,"Do you favor or oppose expanding the sales tax to cover services like dry cleaning or haircuts, which are not currently taxed?",,,Favor,Oppose,Other/Don't know,,,,,,,x,N/A,x,N/A,x,x,N/A,x,x,N/A
budget,Increase Income Tax,tax_inc_temp,"Do you favor or oppose a proposal to restore the temporary state income tax increase, raising it from 3.75 percent to 5 percent?","This question dealt with raising income tax before the temporary measure was in place. When it was in place it asked about continuing it and once it expired the question asked about reinstating the increase. Specifically in 2009 the question asked: ""Do you favor or oppose a proposal to raise the state income tax rate from 3 percent to 4.5 percent? ""; in 2013-4 it asked: ""do you favor or oppose a proposal to make permanent the state income tax increase...""; and in 2015-6 it asked: do you favor or oppose a proposal to restore the temporary state income tax increase, raising it from 3.65 to 5 percent?""",,Favor,Oppose,Other/Don't know,,,,,,,x,x,N/A,N/A,x,x,x,x,x,N/A
budget,Tax Millionnaires More,tax_inc_mil,Do you favor or oppose a proposal to impose an extra 3 percent state tax on all income above $1 million a year?,,,Favor,Oppose,Other/Don't know,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,x,x,x,N/A
budget,Graduated Income Tax,tax_inc_grad," Would you favor or oppose a proposal to change the Illinois Constitution to allow a graduated income tax-that is, tax rates would be lower for lower-income taxpayers and higher for upper-income taxpayers?",,,Favor,Oppose,Other/Don't know,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,x,x,N/A
